date,Search_Volume
2023-12-31,62
2024-01-07,63
2024-01-14,69
2024-01-21,68
2024-01-28,69
2024-02-04,66
2024-02-11,69
2024-02-18,77
2024-02-25,70
2024-03-03,73
2024-03-10,73
2024-03-17,72
2024-03-24,74
2024-03-31,68
2024-04-07,68
2024-04-14,72
2024-04-21,73
2024-04-28,72
2024-05-05,73
2024-05-12,76
2024-05-19,79
2024-05-26,77
2024-06-02,77
2024-06-09,76
2024-06-16,73
2024-06-23,69
2024-06-30,67
2024-07-07,72
2024-07-14,70
2024-07-21,70
2024-07-28,71
2024-08-04,77
2024-08-11,76
2024-08-18,79
2024-08-25,85
2024-09-01,81
2024-09-08,82
2024-09-15,83
2024-09-22,90
2024-09-29,83
2024-10-06,86
2024-10-13,88
2024-10-20,87
2024-10-27,90
2024-11-03,88
2024-11-10,91
2024-11-17,98
2024-11-24,87
2024-12-01,95
2024-12-08,100
2024-12-15,93
2024-12-22,80
2024-12-29,84
